Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1749.3354592424052
FDW14,OUT017,821.5039289056241
NCN55,OUT010,518.1524438750575
FDQ58,OUT017,2305.249812689442
FDY38,OUT027,5678.094503655841
FDH56,OUT046,1969.937103652213
FDL48,OUT018,770.6430152211196
FDC48,OUT027,1722.407058120565
FDN33,OUT045,1639.3274692903867
FDA36,OUT017,2917.5996991315055
FDT44,OUT017,1957.403067139047
FDQ56,OUT045,1007.6302921940953
NCC54,OUT019,518.1524438750575
FDU11,OUT049,1699.3064471008176
DRL59,OUT013,934.4279442816404
FDM24,OUT049,2305.249812689442
FDI57,OUT045,3188.1995864900414
DRC12,OUT018,2750.257719031359
NCM42,OUT027,2906.1388490158356
FDA46,OUT010,518.1524438750575
FDA31,OUT013,2305.249812689442
NCJ31,OUT035,3584.98625746399
FDG52,OUT046,774.2812534799957
NCL19,OUT019,376.30512862813885
FDS10,OUT035,2169.8059629588683
FDX22,OUT010,475.8101088372923
NCF19,OUT035,745.3018600046094
NCE06,OUT046,2305.249812689442
DRC27,OUT046,2994.071248724464
FDE21,OUT035,1957.403067139047
NCR42,OUT019,117.36978976603626
FDX51,OUT018,2750.257719031359
NCR06,OUT018,688.9044428690185
FDU31,OUT027,5678.094503655841
FDU59,OUT017,2305.249812689442
FDR03,OUT027,5260.195852348931
FDS49,OUT027,1722.407058120565
FDD48,OUT010,215.94354673517296
NCF18,OUT017,3088.6096731103826
NCD43,OUT027,2906.1388490158356
NCD54,OUT018,2314.0534327369373
FDY19,OUT010,215.94354673517296
NCY54,OUT017,2860.2117784479
NCL19,OUT018,2314.0534327369373
FDP23,OUT010,475.8101088372923
FDC26,OUT013,1634.7963604283443
FDR14,OUT010,117.36978976603626
NCS41,OUT035,2766.731433563252
FDF41,OUT035,3088.6096731103826
FDU34,OUT046,1749.3354592424052
DRH11,OUT046,1007.6302921940953
FDM03,OUT013,1634.7963604283443
FDS31,OUT017,2766.731433563252
FDJ20,OUT017,1640.4383948394545
FDV44,OUT027,5678.094503655841
FDG02,OUT049,2917.5996991315055
FDA09,OUT013,2927.8763859767396
FDT04,OUT013,774.2812534799957
FDL58,OUT019,518.1524438750575
FDE52,OUT045,1017.9117422060367
FDW12,OUT035,2208.291319030472
FDL51,OUT017,3715.855884510453
NCY42,OUT027,2906.1388490158356
FDR07,OUT017,1640.4383948394545
FDN40,OUT045,2305.249812689442
FDB35,OUT027,1453.963891485887
FDA22,OUT017,2930.843926849163
NCL06,OUT046,3188.1995864900414
FDI35,OUT013,2472.553990077214
NCW42,OUT045,3082.656449212809
NCX06,OUT049,2472.553990077214
FDC37,OUT027,2743.9386594196576
FDZ14,OUT018,1357.6894262101926
DRG49,OUT049,3750.1978112637744
NCG06,OUT045,3088.6096731103826
DRC36,OUT045,2472.553990077214
FDV21,OUT019,268.5828674842002
FDB53,OUT046,2469.1062495566407
DRP47,OUT019,518.1524438750575
FDA14,OUT013,2623.9537301758673
DRC24,OUT035,2930.843926849163
FDW21,OUT018,1577.6445759534793
NCH29,OUT046,1699.3064471008176
FDU58,OUT013,3720.3119032411337
FDY27,OUT017,2860.2117784479
FDV56,OUT035,1957.403067139047
FDT59,OUT046,3720.3119032411337
FDB23,OUT046,2917.5996991315055
FDR49,OUT045,889.7259676618635
FDB03,OUT010,518.1524438750575
FDN39,OUT045,2550.334218501969
