Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1801.7155365422457
FDW14,OUT017,877.0932166794358
NCN55,OUT010,497.57945751693313
FDQ58,OUT017,2579.252592380676
FDY38,OUT027,5489.781087681775
FDH56,OUT046,1801.7155365422457
FDL48,OUT018,725.8319150889691
FDC48,OUT027,1595.5858177926682
FDN33,OUT045,1558.4812120766294
FDA36,OUT017,3662.6796173591406
FDT44,OUT017,1736.4616685052877
FDQ56,OUT045,877.0932166794358
NCC54,OUT019,497.57945751693313
FDU11,OUT049,1617.6664129665928
DRL59,OUT013,877.0932166794358
FDM24,OUT049,2484.436621279668
FDI57,OUT045,3358.2098331032244
DRC12,OUT018,2945.964698177935
NCM42,OUT027,2828.703073985001
FDA46,OUT010,497.57945751693313
FDA31,OUT013,2484.436621279668
NCJ31,OUT035,3358.2098331032244
FDG52,OUT046,877.0932166794358
NCL19,OUT019,356.0851666715469
FDS10,OUT035,2364.6023390121823
FDX22,OUT010,497.57945751693313
NCF19,OUT035,801.0542079957867
NCE06,OUT046,2484.436621279668
DRC27,OUT046,3662.6796173591406
FDE21,OUT035,1873.147605111142
NCR42,OUT019,130.63282441712818
FDX51,OUT018,2945.964698177935
NCR06,OUT018,725.8319150889691
FDU31,OUT027,5489.781087681775
FDU59,OUT017,2484.436621279668
FDR03,OUT027,5489.781087681775
FDS49,OUT027,1595.5858177926682
FDD48,OUT010,239.37376715406538
NCF18,OUT017,3358.2098331032244
NCD43,OUT027,2828.703073985001
NCD54,OUT018,2171.9805007920468
FDY19,OUT010,239.37376715406538
NCY54,OUT017,2315.629958861823
NCL19,OUT018,2171.9805007920468
FDP23,OUT010,497.57945751693313
FDC26,OUT013,1801.7155365422457
FDR14,OUT010,130.63282441712818
NCS41,OUT035,2643.975021470098
FDF41,OUT035,3282.808759736802
FDU34,OUT046,1801.7155365422457
DRH11,OUT046,877.0932166794358
FDM03,OUT013,1801.7155365422457
FDS31,OUT017,2643.975021470098
FDJ20,OUT017,1736.4616685052877
FDV44,OUT027,5489.781087681775
FDG02,OUT049,3662.6796173591406
FDA09,OUT013,2807.8250783571298
FDT04,OUT013,877.0932166794358
FDL58,OUT019,497.57945751693313
FDE52,OUT045,877.0932166794358
FDW12,OUT035,2315.629958861823
FDL51,OUT017,3662.6796173591406
NCY42,OUT027,2828.703073985001
FDR07,OUT017,1736.4616685052877
FDN40,OUT045,2484.436621279668
FDB35,OUT027,1595.5858177926682
FDA22,OUT017,2484.436621279668
NCL06,OUT046,3026.7225564402847
FDI35,OUT013,2807.8250783571298
NCW42,OUT045,3358.2098331032244
NCX06,OUT049,2807.8250783571298
FDC37,OUT027,2828.703073985001
FDZ14,OUT018,1463.1524722310262
DRG49,OUT049,3358.2098331032244
NCG06,OUT045,3358.2098331032244
DRC36,OUT045,2807.8250783571298
FDV21,OUT019,239.37376715406538
FDB53,OUT046,2643.975021470098
DRP47,OUT019,497.57945751693313
FDA14,OUT013,2643.975021470098
DRC24,OUT035,2807.8250783571298
FDW21,OUT018,1463.1524722310262
NCH29,OUT046,1617.6664129665928
FDU58,OUT013,3026.7225564402847
FDY27,OUT017,2579.252592380676
FDV56,OUT035,1873.147605111142
FDT59,OUT046,3662.6796173591406
FDB23,OUT046,3026.7225564402847
FDR49,OUT045,966.9563675415617
FDB03,OUT010,497.57945751693313
FDN39,OUT045,2364.6023390121823
FDX02,OUT027,5489.781087681775
FDQ16,OUT027,2828.703073985001
FDU35,OUT018,1463.1524722310262
NCT29,OUT013,1801.7155365422457
FDZ27,OUT046,877.0932166794358
FDN57,OUT017,1736.4616685052877
FDA03,OUT018,2171.9805007920468
FDZ36,OUT045,2484.436621279668
NCU05,OUT013,801.0542079957867
FDT39,OUT018,2171.9805007920468
FDK60,OUT017,1736.4616685052877
FDZ25,OUT017,2643.975021470098
FDG12,OUT046,1617.6664129665928
DRB01,OUT019,497.57945751693313
NCC43,OUT027,5489.781087681775
FDX13,OUT019,497.57945751693313
FDM22,OUT049,877.0932166794358
FDJ03,OUT027,1595.5858177926682
FDU14,OUT018,2945.964698177935
FDB33,OUT010,356.0851666715469
FDP27,OUT046,3026.7225564402847
FDO38,OUT010,130.63282441712818
FDE28,OUT027,5489.781087681775
FDO27,OUT035,1736.4616685052877
DRL23,OUT027,2828.703073985001
FDS28,OUT046,877.0932166794358
FDX24,OUT013,966.9563675415617
FDZ02,OUT035,1873.147605111142
FDL46,OUT045,1558.4812120766294
FDS60,OUT027,4146.97167822764
NCO06,OUT017,801.0542079957867
FDO16,OUT035,877.0932166794358
FDC60,OUT049,1009.9263939785452
FDA48,OUT018,2945.964698177935
FDZ36,OUT027,5489.781087681775
FDK27,OUT045,1558.4812120766294
FDW23,OUT018,725.8319150889691
FDM14,OUT018,1463.1524722310262
FDM14,OUT013,1801.7155365422457
FDW60,OUT018,2171.9805007920468
FDE21,OUT013,1801.7155365422457
NCM42,OUT035,1873.147605111142
FDY59,OUT010,130.63282441712818
DRI49,OUT049,877.0932166794358
FDT28,OUT019,356.0851666715469
FDQ22,OUT018,725.8319150889691
FDR60,OUT049,966.9563675415617
FDC50,OUT019,239.37376715406538
FDV24,OUT013,2484.436621279668
DRF48,OUT010,497.57945751693313
FDQ47,OUT046,966.9563675415617
DRN36,OUT049,1801.7155365422457
NCY06,OUT035,1736.4616685052877
FDE52,OUT035,877.0932166794358
NCB54,OUT045,1558.4812120766294
NCF31,OUT035,2315.629958861823
FDJ08,OUT027,5489.781087681775
NCC07,OUT017,1873.147605111142
NCD19,OUT027,1595.5858177926682
FDL46,OUT049,1801.7155365422457
FDM20,OUT045,3358.2098331032244
NCI06,OUT010,356.0851666715469
DRM11,OUT035,3358.2098331032244
NCH07,OUT018,2171.9805007920468
FDS23,OUT013,1617.6664129665928
FDO49,OUT018,725.8319150889691
FDS35,OUT049,966.9563675415617
DRK39,OUT045,877.0932166794358
DRI39,OUT049,877.0932166794358
FDV04,OUT017,2315.629958861823
NCN14,OUT035,2364.6023390121823
FDH08,OUT013,3026.7225564402847
FDS20,OUT046,2315.629958861823
FDV40,OUT049,877.0932166794358
FDZ48,OUT010,239.37376715406538
FDS24,OUT027,1595.5858177926682
FDK44,OUT049,2643.975021470098
FDS48,OUT045,2643.975021470098
FDK26,OUT010,497.57945751693313
FDD23,OUT045,3358.2098331032244
NCH54,OUT017,2807.8250783571298
NCP14,OUT010,239.37376715406538
FDM60,OUT010,130.63282441712818
FDV24,OUT017,2484.436621279668
FDH08,OUT018,2945.964698177935
FDS12,OUT027,2828.703073985001
FDR39,OUT027,4146.97167822764
FDP12,OUT027,1595.5858177926682
DRF60,OUT027,5489.781087681775
FDC09,OUT035,1873.147605111142
FDF50,OUT018,2945.964698177935
FDG28,OUT035,3662.6796173591406
NCE19,OUT017,801.0542079957867
NCM53,OUT010,239.37376715406538
NCN18,OUT049,1617.6664129665928
FDF32,OUT035,3358.2098331032244
FDF11,OUT013,3026.7225564402847
DRI59,OUT049,3358.2098331032244
NCG54,OUT035,2807.8250783571298
FDM44,OUT046,1801.7155365422457
FDT57,OUT018,2945.964698177935
FDV24,OUT046,2484.436621279668
FDI50,OUT019,497.57945751693313
FDS09,OUT035,877.0932166794358
NCC31,OUT027,4146.97167822764
FDQ07,OUT019,497.57945751693313
FDC22,OUT017,3358.2098331032244
FDZ56,OUT046,2643.975021470098
FDZ40,OUT019,130.63282441712818
FDS46,OUT027,2828.703073985001
DRD24,OUT045,1558.4812120766294
FDV45,OUT017,3358.2098331032244
FDL26,OUT045,2643.975021470098
FDA56,OUT018,1463.1524722310262
FDN27,OUT046,1801.7155365422457
FDM20,OUT049,3358.2098331032244
FDO16,OUT017,877.0932166794358
FDL03,OUT035,3358.2098331032244
FDE58,OUT046,1801.7155365422457
