Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,34.329984944323975
FDW14,OUT017,30.727170292212683
NCN55,OUT010,27.958573371139096
FDQ58,OUT017,41.48896514579568
FDY38,OUT027,54.86624407335798
FDH56,OUT046,34.03179276554098
FDL48,OUT018,25.485571973184076
FDC48,OUT027,37.98943296880531
FDN33,OUT045,34.20174998979109
FDA36,OUT017,47.197009810787556
FDT44,OUT017,35.71399075474252
FDQ56,OUT045,28.518364252632402
NCC54,OUT019,25.864269828632665
FDU11,OUT049,34.07309105948698
DRL59,OUT013,26.467262214962354
FDM24,OUT049,40.000209463963095
FDI57,OUT045,45.4360897631363
DRC12,OUT018,41.72301988009204
NCM42,OUT027,43.57161819958066
FDA46,OUT010,27.272271198092362
FDA31,OUT013,37.22430387041228
NCJ31,OUT035,45.55706341798141
FDG52,OUT046,28.12262762947828
NCL19,OUT019,20.920922247930154
FDS10,OUT035,40.55901234117619
FDX22,OUT010,28.485353470188038
NCF19,OUT035,29.324700360319923
NCE06,OUT046,39.160835842799884
DRC27,OUT046,44.86988304996107
FDE21,OUT035,34.949105018948764
NCR42,OUT019,9.632493084612005
FDX51,OUT018,42.46074425747839
NCR06,OUT018,25.422926036259064
FDU31,OUT027,55.18523770900489
FDU59,OUT017,41.40015213532302
FDR03,OUT027,55.137389198315866
FDS49,OUT027,37.839785289190424
FDD48,OUT010,16.945789240476923
NCF18,OUT017,46.86639205137734
NCD43,OUT027,43.5256941723583
NCD54,OUT018,36.444917199375844
FDY19,OUT010,17.02776302954516
NCY54,OUT017,41.03619261971652
NCL19,OUT018,36.51513108228231
FDP23,OUT010,28.21146137277831
FDC26,OUT013,31.639830012596114
FDR14,OUT010,10.38119649956975
NCS41,OUT035,40.626923696346196
FDF41,OUT035,45.73027681490584
FDU34,OUT046,33.714209711833284
DRH11,OUT046,27.923526837820653
FDM03,OUT013,31.641187538366317
FDS31,OUT017,41.86517698953056
FDJ20,OUT017,35.955275692339974
FDV44,OUT027,55.135047937249404
FDG02,OUT049,45.46330422172594
FDA09,OUT013,37.62662181944126
FDT04,OUT013,26.29759919860657
FDL58,OUT019,26.289854409311253
FDE52,OUT045,29.091365108538874
FDW12,OUT035,41.10867072711073
FDL51,OUT017,47.46464526637076
NCY42,OUT027,43.75954293791628
FDR07,OUT017,35.82004055228429
FDN40,OUT045,39.79633924928054
FDB35,OUT027,37.81268607484774
FDA22,OUT017,40.971129682136315
NCL06,OUT046,44.97691229611677
FDI35,OUT013,37.47555843302566
NCW42,OUT045,45.69621164498256
NCX06,OUT049,40.0437742046936
FDC37,OUT027,43.522830810182775
FDZ14,OUT018,31.252654356617278
DRG49,OUT049,44.94179435816309
NCG06,OUT045,45.62913663456512
DRC36,OUT045,39.962792605846985
FDV21,OUT019,14.125809335500666
FDB53,OUT046,38.965404912706255
DRP47,OUT019,25.52827968631475
FDA14,OUT013,37.499954145667324
DRC24,OUT035,40.32363156529121
FDW21,OUT018,31.218446288402497
NCH29,OUT046,33.85194502400135
FDU58,OUT013,43.59117772256554
FDY27,OUT017,41.66370266779605
FDV56,OUT035,35.52106540053298
FDT59,OUT046,45.3800941240903
FDB23,OUT046,45.307905965234205
FDR49,OUT045,28.45112262840768
FDB03,OUT010,27.50611511938329
FDN39,OUT045,40.21245175716198
FDX02,OUT027,54.793312279665024
FDQ16,OUT027,43.54402447437665
FDU35,OUT018,30.793684662579842
NCT29,OUT013,32.094015086997175
FDZ27,OUT046,28.522823534422848
FDN57,OUT017,35.73841365548608
FDA03,OUT018,36.652179916054855
FDZ36,OUT045,40.43233917165954
NCU05,OUT013,26.51117365442819
FDT39,OUT018,36.84161028934441
FDK60,OUT017,36.09112503281194
FDZ25,OUT017,42.083029679107504
FDG12,OUT046,34.3557709145957
DRB01,OUT019,25.682415213532007
NCC43,OUT027,54.40274143296543
FDX13,OUT019,26.475088609896154
FDM22,OUT049,28.742058284040333
FDJ03,OUT027,38.07084719430346
FDU14,OUT018,42.04520675953962
FDB33,OUT010,22.568117796965574
FDP27,OUT046,44.68622020868079
FDO38,OUT010,11.129892792226428
FDE28,OUT027,54.563604471604926
FDO27,OUT035,34.5989326871858
DRL23,OUT027,43.47366183528336
FDS28,OUT046,28.469352311406418
FDX24,OUT013,26.791155639938715
FDZ02,OUT035,35.437581859086116
FDL46,OUT045,34.23435029798183
FDS60,OUT027,49.312556281132565
NCO06,OUT017,30.060882234744213
FDO16,OUT035,29.462695195536746
FDC60,OUT049,28.525585007588596
FDA48,OUT018,41.68870181511132
FDZ36,OUT027,55.161182051232636
FDK27,OUT045,34.42021406327611
FDW23,OUT018,25.20835408448326
FDM14,OUT018,30.988799253380144
FDM14,OUT013,32.25261523440253
FDW60,OUT018,37.03114531826106
FDE21,OUT013,32.06268478763776
NCM42,OUT035,35.00596946680051
FDY59,OUT010,11.54914691503608
DRI49,OUT049,27.67377930998517
FDT28,OUT019,20.670138907160645
FDQ22,OUT018,25.182507218178312
FDR60,OUT049,28.34831162247388
FDC50,OUT019,14.367453298223165
FDV24,OUT013,37.587198880826
DRF48,OUT010,27.75087023192598
FDQ47,OUT046,28.151923127380435
DRN36,OUT049,33.91409769036092
NCY06,OUT035,35.039016459305785
FDE52,OUT035,29.66250912538724
NCB54,OUT045,34.255790274844585
NCF31,OUT035,40.45044601730196
FDJ08,OUT027,54.37277267857305
NCC07,OUT017,35.90295414759349
NCD19,OUT027,37.92526931183663
FDL46,OUT049,33.948305346291754
FDM20,OUT045,45.59906616941077
NCI06,OUT010,22.391119964091523
DRM11,OUT035,45.93277214863043
NCH07,OUT018,36.16255238495269
FDS23,OUT013,31.76013907691881
FDO49,OUT018,25.646187563774525
FDS35,OUT049,28.391531349186458
DRK39,OUT045,28.648600118767938
DRI39,OUT049,28.230474911763842
FDV04,OUT017,41.42606476308145
NCN14,OUT035,40.37905071128317
FDH08,OUT013,43.30472863361057
FDS20,OUT046,39.47062122328412
FDV40,OUT049,28.80906169827754
FDZ48,OUT010,16.897301404434202
FDS24,OUT027,38.28331739691861
FDK44,OUT049,39.41967945406349
FDS48,OUT045,40.0773432194815
FDK26,OUT010,28.458378860093127
FDD23,OUT045,45.60677065970989
NCH54,OUT017,41.33106627892032
NCP14,OUT010,16.39467437411576
FDM60,OUT010,11.63240366950895
FDV24,OUT017,41.39299978751341
FDH08,OUT018,42.0408248238035
FDS12,OUT027,43.08959018180065
FDR39,OUT027,48.89360817092115
FDP12,OUT027,38.32075183210393
DRF60,OUT027,54.35060158746266
FDC09,OUT035,35.246203267807566
FDF50,OUT018,41.63781940889968
FDG28,OUT035,46.39646166755143
NCE19,OUT017,29.962985087737692
NCM53,OUT010,16.86333707879004
NCN18,OUT049,34.09194894691391
FDF32,OUT035,46.00364595779137
FDF11,OUT013,43.44861356913051
DRI59,OUT049,45.221069881517344
NCG54,OUT035,40.36149615127021
FDM44,OUT046,33.91878084594672
FDT57,OUT018,42.08421346204191
FDV24,OUT046,39.387502338777416
FDI50,OUT019,26.765885463607383
FDS09,OUT035,29.41064986121132
NCC31,OUT027,49.104247415357406
FDQ07,OUT019,26.368733913090516
FDC22,OUT017,46.7321950535298
FDZ56,OUT046,39.714845112405094
FDZ40,OUT019,9.697757242876683
FDS46,OUT027,43.721287846782836
DRD24,OUT045,34.10799840616349
FDV45,OUT017,47.07196823075778
FDL26,OUT045,39.932038350258104
FDA56,OUT018,30.803189774997556
FDN27,OUT046,33.85981519420586
FDM20,OUT049,45.36944784105231
FDO16,OUT017,30.38451314225413
FDL03,OUT035,46.50179898213664
FDE58,OUT046,33.64383667837419
FDI02,OUT027,43.50011574541056
NCC55,OUT019,9.280059719659231
FDR03,OUT018,42.47711386426037
FDB14,OUT017,30.301264293408884
FDR45,OUT013,43.25771402565437
NCN07,OUT017,35.93683263491663
FDM51,OUT019,15.499869256043318
FDT52,OUT027,55.09663333569649
FDL26,OUT046,39.41772479319956
NCZ42,OUT046,45.37592080850836
DRI47,OUT019,20.744028173725493
FDW40,OUT013,32.256967314551154
FDN34,OUT046,39.586433096701974
FDS01,OUT035,40.77955958956735
NCG55,OUT045,34.37939782651688
FDC11,OUT035,28.67851699181164
FDX35,OUT018,42.35347239632397
NCB06,OUT046,39.24965116794853
FDR09,OUT019,25.998718162904062
FDC53,OUT017,35.91221471744627
FDY45,OUT013,43.20579415129975
FDA22,OUT010,21.827507597222038
FDE02,OUT035,34.557558897899845
FDW21,OUT045,34.797659466071885
FDV34,OUT046,28.671406485588527
FDS59,OUT049,34.644726867765804
NCW17,OUT017,36.154099743705046
NCK54,OUT046,33.92771648895204
FDG17,OUT019,26.663459016330627
